year,energy_type,country_code,energy
1980,total,KWT,0.481679809
1980,coal,KWT,0
1980,natural_gas,KWT,0.255468
1980,petroleum,KWT,0.226211809
1980,all_renewable,KWT,0
1980,renewables,KWT,0
1980,total,KGZ,
1980,coal,KGZ,
1980,natural_gas,KGZ,
1980,petroleum,KGZ,
1980,all_renewable,KGZ,
1980,nuclear,KGZ,
1980,renewables,KGZ,
1980,total,LAO,0.012961057
1980,coal,LAO,0
1980,natural_gas,LAO,0
1980,petroleum,LAO,0.005884621
1980,all_renewable,LAO,0.007076436
1980,renewables,LAO,0.007076436
1980,total,LVA,
1980,coal,LVA,
1980,natural_gas,LVA,
1980,petroleum,LVA,
1980,all_renewable,LVA,
1980,nuclear,LVA,
1980,renewables,LVA,
1980,total,LBN,0.103281826
1980,coal,LBN,0
1980,natural_gas,LBN,0
1980,petroleum,LBN,0.09361361
1980,all_renewable,LBN,0.009668216
1980,renewables,LBN,0.009668216
1980,total,LSO,0.002040179
1980,coal,LSO,0
1980,natural_gas,LSO,0
1980,petroleum,LSO,0.002040179
1980,all_renewable,LSO,0
1980,renewables,LSO,0
1980,total,LBR,0.031578085
1980,coal,LBR,0
1980,natural_gas,LBR,0
1980,petroleum,LBR,0.028139657
1980,all_renewable,LBR,0.003438428
1980,renewables,LBR,0.003438428
1980,total,LBY,0.401749139
1980,coal,LBY,0
1980,natural_gas,LBY,0.18846
1980,petroleum,LBY,0.213289139
1980,all_renewable,LBY,0
1980,renewables,LBY,0
1980,total,LTU,
1980,coal,LTU,
1980,natural_gas,LTU,
1980,petroleum,LTU,
1980,all_renewable,LTU,
1980,nuclear,LTU,
1980,renewables,LTU,
1980,total,LUX,0.151251051
1980,coal,LUX,0.009241936
1980,natural_gas,LUX,0.01886
1980,petroleum,LUX,0.04722132
1980,all_renewable,LUX,0.075927794
1980,renewables,LUX,0.075927794
1980,total,MAC,0.006895926
1980,coal,MAC,0
1980,natural_gas,MAC,0
1980,petroleum,MAC,0.006895926
1980,all_renewable,MAC,0
1980,renewables,MAC,0
1980,total,MDG,0.018819809
1980,coal,MDG,0.000235487
1980,natural_gas,MDG,0
1980,petroleum,MDG,0.017067674
1980,all_renewable,MDG,0.001516648
1980,renewables,MDG,0.001516648
1980,total,MWI,0.012097563
1980,coal,MWI,0.001615319
1980,natural_gas,MWI,0
1980,petroleum,MWI,0.006458524
1980,all_renewable,MWI,0.00402372
1980,renewables,MWI,0.00402372
1980,total,MYS,0.413069747
1980,coal,MYS,0.001829241
1980,natural_gas,MYS,0.058408
1980,petroleum,MYS,0.338033709
1980,all_renewable,MYS,0.014798796
1980,renewables,MYS,0.014798796
1980,total,MDV,0.000211194
1980,coal,MDV,0
1980,natural_gas,MDV,0
1980,petroleum,MDV,0.000211194
1980,all_renewable,MDV,0
1980,renewables,MDV,0
1980,total,MLI,0.007008037
1980,coal,MLI,0
1980,natural_gas,MLI,0
1980,petroleum,MLI,0.006145833
1980,all_renewable,MLI,0.000862204
1980,renewables,MLI,0.000862204
1980,total,MLT,0.018808713
1980,coal,MLT,9.01852E-05
1980,natural_gas,MLT,0
1980,petroleum,MLT,0.018718528
1980,all_renewable,MLT,0
1980,renewables,MLT,0
1980,total,MTQ,0.009361219
1980,coal,MTQ,0
1980,natural_gas,MTQ,0
1980,petroleum,MTQ,0.009361219
1980,all_renewable,MTQ,0
1980,renewables,MTQ,0
1980,total,MRT,0.00905585
1980,coal,MRT,0.000121459
1980,natural_gas,MRT,0
1980,petroleum,MRT,0.008674691
1980,all_renewable,MRT,0.0002597
1980,renewables,MRT,0.0002597
1980,total,MUS,0.01357242
1980,coal,MUS,0
1980,natural_gas,MUS,0
1980,petroleum,MUS,0.012720604
1980,all_renewable,MUS,0.000851816
1980,renewables,MUS,0.000851816
1980,total,MEX,3.800720729
1980,coal,MEX,0.088556325
1980,natural_gas,MEX,0.843744
1980,petroleum,MEX,2.680407222
1980,all_renewable,MEX,0.188013182
1980,nuclear,MEX,
1980,renewables,MEX,0.188013182
1980,total,FSM,0
1980,coal,FSM,0
1980,natural_gas,FSM,0
1980,petroleum,FSM,0
1980,all_renewable,FSM,0
1980,nuclear,FSM,0
1980,renewables,FSM,0
1980,total,MDA,
1980,coal,MDA,
1980,natural_gas,MDA,
1980,petroleum,MDA,
1980,all_renewable,MDA,
1980,nuclear,MDA,
1980,renewables,MDA,
1980,total,MNG,0.146977961
1980,coal,MNG,0.120549387
1980,natural_gas,MNG,0
1980,petroleum,MNG,0.025422034
1980,all_renewable,MNG,0.00100654
1980,renewables,MNG,0.00100654
1980,total,MNE,
1980,coal,MNE,
1980,natural_gas,MNE,
1980,petroleum,MNE,
1980,all_renewable,MNE,
1980,nuclear,MNE,
1980,renewables,MNE,
